time,voltage,current
460561,0.5177706,-0.01999324
460681,0.5169198,-0.01999389
460801,0.5148556,-0.01999444
460921,0.5118945,-0.0199919
461041,0.5096227,-0.01999395
461161,0.5067357,-0.01999158
461281,0.5049123,-0.01999462
461401,0.5025449,-0.01999342
461521,0.5013872,-0.01999469
461641,0.500549,-0.01999248
461761,0.4976048,-0.01999733
461881,0.4974558,-0.01999234
462001,0.4953272,-0.01999435
462121,0.4926596,-0.01999015
462241,0.4917864,-0.01999507
462361,0.4901209,-0.01999375
462481,0.4906613,-0.01999393
462601,0.4890099,-0.01999192
462721,0.4872252,-0.01999601
462841,0.4840476,-0.01999288
462961,0.4834294,-0.01999585
463081,0.4842485,-0.01999241
463201,0.4819174,-0.0199978
463321,0.4799318,-0.0199923
463441,0.4768958,-0.01999426
463561,0.4762213,-0.01999326
463681,0.4746974,-0.01999498
463801,0.4717067,-0.01999158
463921,0.4745685,-0.01999793
464041,0.4696188,-0.01999498
464161,0.4678666,-0.01999605
464281,0.467115,-0.0199948
464401,0.4664806,-0.0199963
464521,0.4646239,-0.01999395
464641,0.4600737,-0.0199967
464761,0.4596853,-0.01999583
464881,0.4593206,-0.01999561
465001,0.4586669,-0.01999192
465121,0.4589945,-0.01999621
465241,0.4539351,-0.01999438
465361,0.4525921,-0.01999371
465481,0.4496118,-0.01999516
465601,0.4497608,-0.01999498
465721,0.447171,-0.01999636
465841,0.4467982,-0.01999572
465961,0.4452409,-0.01999655
466081,0.4446436,-0.01999556
466201,0.4410458,-0.01999507
466321,0.4377386,-0.01999507
466441,0.434696,-0.0199957
466561,0.4337058,-0.01999476
466681,0.430767,-0.01999655
466801,0.4304365,-0.01999275
466921,0.423659,-0.01999471
467041,0.4227185,-0.0199952
467161,0.4176784,-0.01999619
467281,0.4153326,-0.01999485
467401,0.3881889,-0.01999563
467521,0.7112752,0.01999366
467641,0.7127296,0.01999717
467761,0.7130334,0.01999176
467881,0.7147576,0.01999402
468001,0.7166685,0.01999315
468121,0.7168213,0.01999317
468241,0.717822,0.01999207
468361,0.7197507,0.01999596
468481,0.7204193,0.01999516
468601,0.7211198,0.0199971
468721,0.7215809,0.01999404
468841,0.7252064,0.01999561
468961,0.7268867,0.01999661
469081,0.7288934,0.01999404
469201,0.7301239,0.0199944
469321,0.7314344,0.01999236
469441,0.7328295,0.0199927
469561,0.7341518,0.01999487
469681,0.7361192,0.01999252
469801,0.7353097,0.01999324
469921,0.7377144,0.01999234
470041,0.7397105,0.01999306
470161,0.742116,0.01999085
470281,0.7452233,0.01999308
470401,0.7459809,0.01999333
470521,0.7478652,0.01999116
470641,0.750218,0.01999625
470761,0.751163,0.01999082
470881,0.7532786,0.01999733
471001,0.753733,0.01999333
471121,0.7563408,0.01999426
471241,0.7570739,0.01999417
471361,0.7590345,0.01999328
471481,0.7609944,0.01999243
471601,0.765525,0.01999525
471721,0.7691609,0.01998975
471841,0.7707961,0.01999328
471961,0.7716397,0.01999339
472081,0.7729673,0.01999552
472201,0.776515,0.01999234
472321,0.7812502,0.01999194
472441,0.7829832,0.01999091
472561,0.7849246,0.01999113
472681,0.7873204,0.01999152
472801,0.7926227,0.01999134
472921,0.7955944,0.01999082
473041,0.7998018,0.01999044
473161,0.8014764,0.01999342
473281,0.8017151,0.01999207
473401,0.8050916,0.01999409
473521,0.8077549,0.01999158
473641,0.8183462,0.01999154
473761,0.8143997,0.01999409
473881,0.824739,0.01999469
474001,0.8389595,0.01999248
474121,0.8419135,0.01999375
474241,0.8595284,0.01998988
474361,0.860266,0.01999415
474481,0.8778661,0.01999391
474601,0.5216449,-0.0199971
474721,0.5181302,-0.01999368
474841,0.5173786,-0.01999364
474961,0.5131344,-0.01999462
475081,0.5122998,-0.01999619
475201,0.5073175,-0.01999239
475321,0.510489,-0.01999607
475441,0.5077407,-0.0199942
475561,0.5026599,-0.01999525
475681,0.5025546,-0.01999199
475801,0.4992681,-0.01999645
475921,0.4976627,-0.01999581
476041,0.4976144,-0.01999431
476161,0.4959313,-0.01999444
476281,0.4923823,-0.01999485
476401,0.4955651,-0.01999283
476521,0.4895688,-0.01999467
476641,0.4900039,-0.0199923
476761,0.4859281,-0.01999518
476881,0.4858435,-0.01999739
477001,0.4853218,-0.01999811
477121,0.4831174,-0.01999454
477241,0.4802579,-0.01999333
477361,0.4816439,-0.01999735
477481,0.4794559,-0.01999368
477601,0.4793818,-0.01999116
477721,0.4772101,-0.01999641
477841,0.477173,-0.01999596
477961,0.4723063,-0.01999516
478081,0.4696025,-0.01999243
478201,0.4723686,-0.01999297
478321,0.4692163,-0.01999578
478441,0.4678725,-0.01999355
478561,0.466611,-0.0199923
478681,0.4623744,-0.01999185
478801,0.4637048,-0.01999297
478921,0.4603094,-0.01999353
479041,0.4570467,-0.01999176
479161,0.4566331,-0.0199927
479281,0.4563974,-0.01999297
479401,0.4543806,-0.01999324
479521,0.4533622,-0.01999337
479641,0.4521533,-0.0199967
479761,0.4514166,-0.01999127
479881,0.4502055,-0.01999502
480001,0.4456731,-0.01999328
480121,0.4430619,-0.01999482
480241,0.4426112,-0.0199902
480361,0.4415587,-0.01999677
480481,0.4356285,-0.01999368
480601,0.4348257,-0.0199965
480721,0.4333019,-0.01999225
480841,0.4312503,-0.01999279
480961,0.4306395,-0.01998995
481081,0.426016,-0.01999362
481201,0.4259167,-0.01999315
481321,0.4188458,-0.01999454
481441,0.4145128,-0.01998874
481561,0.7037203,0.01999469
481681,0.7128971,0.0199961
481801,0.7141498,0.0199965
481921,0.7153788,0.01999672
482041,0.7177092,0.01999717
482161,0.7182659,0.01999429
482281,0.7203696,0.01999458
482401,0.719151,0.01999355
482521,0.7206728,0.019994
482641,0.7239714,0.01999583
482761,0.7246134,0.01999326
482881,0.7263553,0.01999502
483001,0.7265999,0.01999297
483121,0.7297332,0.01999417
483241,0.7317354,0.01999185
483361,0.730917,0.01999655
483481,0.7332556,0.01999288
483601,0.7352979,0.01999572
483721,0.7347182,0.01999409
483841,0.7380065,0.01999527
483961,0.7398285,0.01999169
484081,0.7412887,0.01999493
484201,0.7435377,0.01999346
484321,0.746264,0.01999675
484441,0.747198,0.01999165
484561,0.7472973,0.01999335
484681,0.7506145,0.01999538
484801,0.7522594,0.0199942
484921,0.7540281,0.01999145
485041,0.7547833,0.01999605
485161,0.7573993,0.01999502
485281,0.7591049,0.0199935
485401,0.7616334,0.01999663
485521,0.7636578,0.01999567
485641,0.7651455,0.01999476
485761,0.7684546,0.01999377
485881,0.7697206,0.01999467
486001,0.7740793,0.0199944
486121,0.7748827,0.01999382
486241,0.7764186,0.0199952
486361,0.7817083,0.01999333
486481,0.7802836,0.01999328
486601,0.7866918,0.01999183
486721,0.7906501,0.01999163
486841,0.7887711,0.01999172
486961,0.7982445,0.01999326
487081,0.7991652,0.01999797
487201,0.8031049,0.01999125
487321,0.8025616,0.01999248
487441,0.8097979,0.01999127
487561,0.8129112,0.01999715
487681,0.8191009,0.01999122
487801,0.8264164,0.01999574
487921,0.8280925,0.01999118
488041,0.8418772,0.01999297
488161,0.8532305,0.01999203
488281,0.8544521,0.01999404
488401,0.8651568,0.01999239
488521,0.5261276,-0.01999681
488641,0.5180427,-0.01999433
488761,0.5164691,-0.01999552
488881,0.5103927,-0.0199912
489001,0.5092787,-0.01999384
489121,0.5093535,-0.0199935
489241,0.5061056,-0.01999509
489361,0.505079,-0.01999467
489481,0.5025991,-0.01999458
489601,0.501425,-0.01999409
489721,0.4990568,-0.01999216
489841,0.4989123,-0.01999337
489961,0.498604,-0.01999516
490081,0.494981,-0.01999623
490201,0.4920918,-0.01999628
490321,0.4915745,-0.01999315
490441,0.4892175,-0.01999024
490561,0.489978,-0.01999261
490681,0.487695,-0.0199927
490801,0.4837222,-0.01999328
490921,0.4848222,-0.01999449
491041,0.4838275,-0.01999058
491161,0.4795597,-0.01999243
491281,0.4776578,-0.01999243
491401,0.4780966,-0.01999087
491521,0.4756803,-0.01999275
491641,0.4756121,-0.01999391
491761,0.472502,-0.01999181
491881,0.4723968,-0.01999592
492001,0.4698055,-0.01999663
492121,0.4676709,-0.01999561
492241,0.467536,-0.01999395
492361,0.4652227,-0.01999668
492481,0.4647188,-0.01999493
492601,0.4622958,-0.01999257
492721,0.4602012,-0.01999404
492841,0.459626,-0.01999199
492961,0.4582326,-0.01999111
493081,0.4550039,-0.01999422
493201,0.4557926,-0.01999279
493321,0.4533955,-0.01999409
493441,0.4525491,-0.0199927
493561,0.4498104,-0.01999751
493681,0.4494287,-0.019994
493801,0.4465462,-0.01999216
493921,0.4454374,-0.01999131
494041,0.4426401,-0.01999281
494161,0.4412949,-0.01999154
494281,0.4362229,-0.01999373
494401,0.4373451,-0.01999167
494521,0.4370227,-0.01999398
494641,0.4320759,-0.01999275
494761,0.4283463,-0.01999199
494881,0.4273613,-0.01999315
495001,0.4210234,-0.01999283
495121,0.4176428,-0.01999382
495241,0.4111218,-0.01999536
495361,0.3785431,-0.01999449
495481,0.7156086,0.01999482
495601,0.7163394,0.0199948
495721,0.716375,0.01999561
495841,0.7194927,0.01999565
495961,0.7201042,0.01999359
496081,0.7208173,0.0199919
496201,0.7209715,0.01998984
496321,0.7215609,0.01999248
496441,0.7244622,0.01999462
496561,0.7257052,0.01999299
496681,0.7271455,0.0199944
496801,0.7292062,0.01999462
496921,0.7302722,0.0199923
497041,0.7316701,0.01999561
497161,0.732069,0.01999199
497281,0.7350688,0.01999454
497401,0.736647,0.01999319
497521,0.737326,0.0199923
497641,0.7394467,0.01999668
497761,0.7417839,0.01999406
497881,0.7440892,0.01999212
498001,0.7459105,0.01999107
498121,0.7454094,0.01999346
498241,0.7490986,0.01999167
498361,0.7511942,0.01999373
498481,0.7521704,0.01999145
498601,0.7538101,0.01999232
498721,0.7534173,0.0199923
498841,0.7552704,0.01999458
498961,0.759764,0.01999015
499081,0.7610099,0.0199944
499201,0.7615622,0.01999194
499321,0.7657793,0.01999409
499441,0.7687206,0.01999158
499561,0.771822,0.01999087
499681,0.7732016,0.01998872
499801,0.7747493,0.01999433
499921,0.7775543,0.01999525
500041,0.7793748,0.01999489
500161,0.7833095,0.01999062
500281,0.7832146,0.0199931
500401,0.7881684,0.01999299
500521,0.7877496,0.01999324
500641,0.7961934,0.01999011
500761,0.7978924,0.01999337
500881,0.8001354,0.01999152
501001,0.8064451,0.01999243
501121,0.8090855,0.01999136
501241,0.8147517,0.01999324
501361,0.8141803,0.01999073
501481,0.8203773,0.01998948
501601,0.8218146,0.01999216
501721,0.8353169,0.01998935
501841,0.8389788,0.01999252
501961,0.8569221,0.01999395
502081,0.8708151,0.01999026
502201,0.5230821,-0.01999122
502321,0.5153455,-0.01999708
502441,0.5114237,-0.01999127
502561,0.5130056,-0.01999444
502681,0.5080706,-0.01999194
502801,0.5063251,-0.0199929
502921,0.5061672,-0.01999138
503041,0.5040355,-0.01999585
503161,0.5025102,-0.01999265
503281,0.5013391,-0.01999556
503401,0.5017874,-0.01999051
503521,0.4983653,-0.01999319
503641,0.4970845,-0.01999172
503761,0.4944481,-0.01999377
503881,0.4929754,-0.01999301
504001,0.4901388,-0.01999596
504121,0.4881687,-0.01999176
504241,0.487927,-0.01999306
504361,0.486604,-0.01999109
504481,0.4827431,-0.01999384
504601,0.4813282,-0.01999265
504721,0.4827676,-0.01999194
504841,0.4807115,-0.01999297
504961,0.4810658,-0.01999493
505081,0.4786199,-0.01999292
